Common name,GPCRdb ID,Type,Reference ligand,Fold selectivity (Affinity),# tested GPCRs (Affinity),Species,Mol weight,Rot bonds,H don,H acc,LogP,Smiles
1-naphthylpiperazine,36,Smallmolecule,None,-3,18,Human,212,1,1,2,2.2,N1CCN(CC1)c1cccc2c1cccc2
1-naphthylpiperazine,36,Smallmolecule,None,-3,18,Human,212,1,1,2,2.2,N1CCN(CC1)c1cccc2c1cccc2
1-naphthylpiperazine,36,Smallmolecule,None,-3,18,Human,212,1,1,2,2.2,N1CCN(CC1)c1cccc2c1cccc2
5-CT,134,Smallmolecule,3H-SPIPERONE,-5,36,Human,203,3,3,2,0.8,NCCc1c[nH]c2c1cc(cc2)C(=O)N
5-CT,134,Smallmolecule,3H-SPIPERONE,-5,36,Human,203,3,3,2,0.8,NCCc1c[nH]c2c1cc(cc2)C(=O)N
5-CT,134,Smallmolecule,3H-SPIPERONE,-5,36,Human,203,3,3,2,0.8,NCCc1c[nH]c2c1cc(cc2)C(=O)N
5-CT,134,Smallmolecule,3H-SPIPERONE,-5,36,Human,203,3,3,2,0.8,NCCc1c[nH]c2c1cc(cc2)C(=O)N
5-CT,134,Smallmolecule,3H-SPIPERONE,-5,36,Human,203,3,3,2,0.8,NCCc1c[nH]c2c1cc(cc2)C(=O)N
5-hydroxytryptamine,139,Smallmolecule,3H-8-OH-DPAT,-6,54,Human,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2
5-hydroxytryptamine,139,Smallmolecule,3H-8-OH-DPAT,-6,54,Human,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2
5-hydroxytryptamine,139,Smallmolecule,3H-8-OH-DPAT,-6,54,Human,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2
5-hydroxytryptamine,139,Smallmolecule,3H-8-OH-DPAT,-6,54,Human,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2
5-hydroxytryptamine,139,Smallmolecule,3H-8-OH-DPAT,-6,54,Human,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2
